Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
52,73,109,334,0,0,0,0,0,0,0,0,0,0,0,1
86,80,126,322,0,0,0,0,0,0,0,0,0,0,0,1
59,76,123,323,0,0,0,0,0,0,0,0,0,0,0,1
45,71,101,338,0,0,0,0,0,0,0,0,0,0,0,1
19,37,124,284,0,0,0,0,0,0,0,0,0,0,0,1
47,72,106,336,0,0,0,0,0,0,0,0,0,0,0,1
63,79,136,312,0,0,0,0,0,0,0,0,0,0,0,1
50,78,113,333,0,0,0,0,0,0,0,0,0,0,0,1
49,92,177,268,0,0,0,0,0,0,0,0,0,0,0,1
22,90,175,265,0,0,0,0,0,0,0,0,0,0,0,1
47,93,173,264,0,0,0,0,0,0,0,0,0,0,0,1
19,93,165,255,0,0,0,0,0,0,0,0,0,0,0,1
45,92,168,258,0,0,0,0,0,0,0,0,0,0,0,1
11,100,14,260,0,0,0,0,0,0,0,0,0,0,0,1
13,99,21,251,0,0,0,0,0,0,0,0,0,0,0,1
14,96,18,287,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
13,91,24,246,0,0,0,0,0,0,0,0,0,0,0,1
12,91,24,294,0,0,0,0,0,0,0,0,0,0,0,1
10,107,29,247,0,0,0,0,0,0,0,0,0,0,0,1
12,105,25,290,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
13,101,21,288,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
13,101,21,288,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
13,101,21,288,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
13,101,21,288,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
13,101,21,288,0,0,0,0,0,0,0,0,0,0,0,1
12,102,24,249,0,0,0,0,0,0,0,0,0,0,0,1
