Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
1,56,62,227,0,0,0,0,0,0,0,0,0,1,0,0
0,90,122,328,0,0,0,0,0,0,0,0,0,1,0,0
1,90,87,357,0,0,0,0,0,0,0,0,0,1,0,0
1,46,64,235,0,0,0,0,0,0,0,0,0,1,0,0
1,39,96,309,0,0,0,0,0,0,0,0,0,1,0,0
0,90,29,241,0,0,0,0,0,0,0,0,0,1,0,0
0,36,54,269,0,0,0,0,0,0,0,0,0,1,0,0
1,90,27,243,0,0,0,0,0,0,0,0,0,1,0,0
1,56,146,272,0,0,0,0,0,0,0,0,0,1,0,0
1,49,136,284,0,0,0,0,0,0,0,0,0,1,0,0
1,40,125,286,0,0,0,0,0,0,0,0,0,1,0,0
1,28,69,253,0,0,0,0,0,0,0,0,0,1,0,0
1,63,145,290,0,0,0,0,0,0,0,0,0,1,0,0
1,25,79,248,0,0,0,0,0,0,0,0,0,1,0,0
1,22,85,291,0,0,0,0,0,0,0,0,0,1,0,0
1,52,60,232,0,0,0,0,0,0,0,0,0,1,0,0
1,38,95,308,0,0,0,0,0,0,0,0,0,1,0,0
0,90,51,219,0,0,0,0,0,0,0,0,0,1,0,0
0,45,70,231,0,0,0,0,0,0,0,0,0,1,0,0
1,51,41,258,0,0,0,0,0,0,0,0,0,1,0,0
1,40,126,285,0,0,0,0,0,0,0,0,0,1,0,0
2,50,133,251,0,0,0,0,0,0,0,0,0,1,0,0
2,50,43,282,0,0,0,0,0,0,0,0,0,1,0,0
1,46,132,257,0,0,0,0,0,0,0,0,0,1,0,0
1,51,43,284,0,0,0,0,0,0,0,0,0,1,0,0
1,39,126,255,0,0,0,0,0,0,0,0,0,1,0,0
1,72,24,286,0,0,0,0,0,0,0,0,0,1,0,0
1,50,134,251,0,0,0,0,0,0,0,0,0,1,0,0
1,27,70,287,0,0,0,0,0,0,0,0,0,1,0,0
1,76,154,248,0,0,0,0,0,0,0,0,0,1,0,0
1,30,72,293,0,0,0,0,0,0,0,0,0,1,0,0
1,26,84,245,0,0,0,0,0,0,0,0,0,1,0,0
1,31,93,301,0,0,0,0,0,0,0,0,0,1,0,0
0,90,29,241,0,0,0,0,0,0,0,0,0,1,0,0
0,90,167,257,0,0,0,0,0,0,0,0,0,1,0,0
1,69,39,239,0,0,0,0,0,0,0,0,0,1,0,0
2,55,35,273,0,0,0,0,0,0,0,0,0,1,0,0
1,90,162,288,0,0,0,0,0,0,0,0,0,1,0,0
0,90,128,218,0,0,0,0,0,0,0,0,0,1,0,0
1,90,99,351,0,0,0,0,0,0,0,0,0,1,0,0
2,66,153,281,0,0,0,0,0,0,0,0,0,1,0,0
2,90,12,258,0,0,0,0,0,0,0,0,0,1,0,0
2,90,169,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,13,257,0,0,0,0,0,0,0,0,0,1,0,0
2,90,167,283,0,0,0,0,0,0,0,0,0,1,0,0
1,50,44,256,0,0,0,0,0,0,0,0,0,1,0,0
1,90,166,284,0,0,0,0,0,0,0,0,0,1,0,0
1,71,26,253,0,0,0,0,0,0,0,0,0,1,0,0
1,43,128,286,0,0,0,0,0,0,0,0,0,1,0,0
1,90,17,253,0,0,0,0,0,0,0,0,0,1,0,0
1,66,148,290,0,0,0,0,0,0,0,0,0,1,0,0
1,90,21,249,0,0,0,0,0,0,0,0,0,1,0,0
1,22,85,291,0,0,0,0,0,0,0,0,0,1,0,0
1,49,60,235,0,0,0,0,0,0,0,0,0,1,0,0
1,33,93,303,0,0,0,0,0,0,0,0,0,1,0,0
0,90,0,270,0,0,0,0,0,0,0,0,0,1,0,0
0,90,168,282,0,0,0,0,0,0,0,0,0,1,0,0
1,116,41,300,0,0,0,0,0,0,0,0,0,1,0,0
1,90,33,303,0,0,0,0,0,0,0,0,0,1,0,0
2,63,27,266,0,0,0,0,0,0,0,0,0,1,0,0
1,67,137,236,0,0,0,0,0,0,0,0,0,1,0,0
2,60,148,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,99,351,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,260,0,0,0,0,0,0,0,0,0,1,0,0
2,90,5,275,0,0,0,0,0,0,0,0,0,1,0,0
2,90,169,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,11,281,0,0,0,0,0,0,0,0,0,1,0,0
2,77,162,258,0,0,0,0,0,0,0,0,0,1,0,0
2,90,12,282,0,0,0,0,0,0,0,0,0,1,0,0
2,90,167,257,0,0,0,0,0,0,0,0,0,1,0,0
2,90,167,283,0,0,0,0,0,0,0,0,0,1,0,0
1,90,14,256,0,0,0,0,0,0,0,0,0,1,0,0
1,90,166,284,0,0,0,0,0,0,0,0,0,1,0,0
1,64,31,254,0,0,0,0,0,0,0,0,0,1,0,0
1,38,125,256,0,0,0,0,0,0,0,0,0,1,0,0
1,89,17,253,0,0,0,0,0,0,0,0,0,1,0,0
1,54,139,288,0,0,0,0,0,0,0,0,0,1,0,0
1,90,19,251,0,0,0,0,0,0,0,0,0,1,0,0
1,83,158,291,0,0,0,0,0,0,0,0,0,1,0,0
1,31,72,245,0,0,0,0,0,0,0,0,0,1,0,0
1,25,88,295,0,0,0,0,0,0,0,0,0,1,0,0
1,66,48,231,0,0,0,0,0,0,0,0,0,1,0,0
0,53,103,320,0,0,0,0,0,0,0,0,0,1,0,0
0,90,73,197,0,0,0,0,0,0,0,0,0,1,0,0
0,90,27,243,0,0,0,0,0,0,0,0,0,1,0,0
2,90,17,253,0,0,0,0,0,0,0,0,0,1,0,0
1,90,169,259,0,0,0,0,0,0,0,0,0,1,0,0
1,90,168,282,0,0,0,0,0,0,0,0,0,1,0,0
1,90,120,330,0,0,0,0,0,0,0,0,0,1,0,0
2,90,100,350,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,10,260,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,280,0,0,0,0,0,0,0,0,0,1,0,0
2,83,13,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,280,0,0,0,0,0,0,0,0,0,1,0,0
2,90,11,259,0,0,0,0,0,0,0,0,0,1,0,0
2,63,150,281,0,0,0,0,0,0,0,0,0,1,0,0
2,90,12,258,0,0,0,0,0,0,0,0,0,1,0,0
2,83,166,282,0,0,0,0,0,0,0,0,0,1,0,0
2,90,13,257,0,0,0,0,0,0,0,0,0,1,0,0
2,90,167,283,0,0,0,0,0,0,0,0,0,1,0,0
1,90,14,256,0,0,0,0,0,0,0,0,0,1,0,0
1,90,166,284,0,0,0,0,0,0,0,0,0,1,0,0
1,58,37,255,0,0,0,0,0,0,0,0,0,1,0,0
1,90,165,285,0,0,0,0,0,0,0,0,0,1,0,0
1,82,19,253,0,0,0,0,0,0,0,0,0,1,0,0
1,90,164,286,0,0,0,0,0,0,0,0,0,1,0,0
1,90,18,252,0,0,0,0,0,0,0,0,0,1,0,0
1,71,152,290,0,0,0,0,0,0,0,0,0,1,0,0
1,90,21,249,0,0,0,0,0,0,0,0,0,1,0,0
1,90,158,292,0,0,0,0,0,0,0,0,0,1,0,0
1,43,63,240,0,0,0,0,0,0,0,0,0,1,0,0
1,30,94,300,0,0,0,0,0,0,0,0,0,1,0,0
1,89,39,231,0,0,0,0,0,0,0,0,0,1,0,0
0,90,131,221,0,0,0,0,0,0,0,0,0,1,0,0
1,118,36,249,0,0,0,0,0,0,0,0,0,1,0,0
1,90,27,243,0,0,0,0,0,0,0,0,0,1,0,0
1,72,18,275,0,0,0,0,0,0,0,0,0,1,0,0
2,90,163,253,0,0,0,0,0,0,0,0,0,1,0,0
0,90,161,251,0,0,0,0,0,0,0,0,0,1,0,0
1,90,114,336,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,9,261,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,10,260,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,280,0,0,0,0,0,0,0,0,0,1,0,0
2,67,26,260,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,280,0,0,0,0,0,0,0,0,0,1,0,0
2,87,11,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,169,281,0,0,0,0,0,0,0,0,0,1,0,0
2,90,11,259,0,0,0,0,0,0,0,0,0,1,0,0
2,90,169,281,0,0,0,0,0,0,0,0,0,1,0,0
2,90,12,258,0,0,0,0,0,0,0,0,0,1,0,0
2,84,167,282,0,0,0,0,0,0,0,0,0,1,0,0
2,90,13,257,0,0,0,0,0,0,0,0,0,1,0,0
2,90,167,283,0,0,0,0,0,0,0,0,0,1,0,0
1,90,14,256,0,0,0,0,0,0,0,0,0,1,0,0
1,90,166,284,0,0,0,0,0,0,0,0,0,1,0,0
1,90,15,255,0,0,0,0,0,0,0,0,0,1,0,0
1,90,165,285,0,0,0,0,0,0,0,0,0,1,0,0
1,77,22,253,0,0,0,0,0,0,0,0,0,1,0,0
1,90,164,286,0,0,0,0,0,0,0,0,0,1,0,0
1,90,18,252,0,0,0,0,0,0,0,0,0,1,0,0
1,62,145,289,0,0,0,0,0,0,0,0,0,1,0,0
1,90,20,250,0,0,0,0,0,0,0,0,0,1,0,0
1,90,160,290,0,0,0,0,0,0,0,0,0,1,0,0
1,90,24,246,0,0,0,0,0,0,0,0,0,1,0,0
1,90,156,294,0,0,0,0,0,0,0,0,0,1,0,0
1,60,52,233,0,0,0,0,0,0,0,0,0,1,0,0
0,51,102,318,0,0,0,0,0,0,0,0,0,1,0,0
0,90,62,208,0,0,0,0,0,0,0,0,0,1,0,0
1,72,24,284,0,0,0,0,0,0,0,0,0,1,0,0
1,90,32,302,0,0,0,0,0,0,0,0,0,1,0,0
2,86,4,269,0,0,0,0,0,0,0,0,0,1,0,0
1,90,167,283,0,0,0,0,0,0,0,0,0,1,0,0
1,90,129,219,0,0,0,0,0,0,0,0,0,1,0,0
1,90,102,348,0,0,0,0,0,0,0,0,0,1,0,0
2,90,97,353,0,0,0,0,0,0,0,0,0,1,0,0
2,90,9,261,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,9,261,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,9,261,0,0,0,0,0,0,0,0,0,1,0,0
2,90,171,279,0,0,0,0,0,0,0,0,0,1,0,0
2,90,10,260,0,0,0,0,0,0,0,0,0,1,0,0
2,90,170,280,0,0,0,0,0,0,0,0,0,1,0,0
2,70,23,260,0,0,0,0,0,0,0,0,0,1,0,0
