Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
0,81,42,229,0,0,0,0,0,0,0,0,1,0,0,0
1,42,115,239,0,0,0,0,0,0,0,0,1,0,0,0
1,36,66,296,0,0,0,0,0,0,0,0,1,0,0,0
1,28,118,265,0,0,0,0,0,0,0,0,1,0,0,0
1,41,60,296,0,0,0,0,0,0,0,0,1,0,0,0
1,57,115,224,0,0,0,0,0,0,0,0,1,0,0,0
1,49,111,312,0,0,0,0,0,0,0,0,1,0,0,0
1,41,57,248,0,0,0,0,0,0,0,0,1,0,0,0
1,26,100,294,0,0,0,0,0,0,0,0,1,0,0,0
1,57,48,240,0,0,0,0,0,0,0,0,1,0,0,0
1,21,104,286,0,0,0,0,0,0,0,0,1,0,0,0
1,77,25,291,0,0,0,0,0,0,0,0,1,0,0,0
1,21,71,263,0,0,0,0,0,0,0,0,1,0,0,0
1,38,62,246,0,0,0,0,0,0,0,0,1,0,0,0
2,28,78,295,0,0,0,0,0,0,0,0,1,0,0,0
1,19,103,256,0,0,0,0,0,0,0,0,1,0,0,0
1,36,122,285,0,0,0,0,0,0,0,0,1,0,0,0
1,31,113,290,0,0,0,0,0,0,0,0,1,0,0,0
1,23,103,251,0,0,0,0,0,0,0,0,1,0,0,0
1,77,88,347,0,0,0,0,0,0,0,0,1,0,0,0
1,39,123,289,0,0,0,0,0,0,0,0,1,0,0,0
1,28,95,297,0,0,0,0,0,0,0,0,1,0,0,0
2,18,104,282,0,0,0,0,0,0,0,0,1,0,0,0
2,29,64,257,0,0,0,0,0,0,0,0,1,0,0,0
1,37,74,238,0,0,0,0,0,0,0,0,1,0,0,0
1,32,70,247,0,0,0,0,0,0,0,0,1,0,0,0
1,24,73,254,0,0,0,0,0,0,0,0,1,0,0,0
1,55,38,256,0,0,0,0,0,0,0,0,1,0,0,0
1,23,77,289,0,0,0,0,0,0,0,0,1,0,0,0
2,21,70,265,0,0,0,0,0,0,0,0,1,0,0,0
2,29,82,297,0,0,0,0,0,0,0,0,1,0,0,0
2,23,98,249,0,0,0,0,0,0,0,0,1,0,0,0
2,27,107,289,0,0,0,0,0,0,0,0,1,0,0,0
2,32,100,240,0,0,0,0,0,0,0,0,1,0,0,0
1,29,119,266,0,0,0,0,0,0,0,0,1,0,0,0
1,54,113,225,0,0,0,0,0,0,0,0,1,0,0,0
1,52,116,311,0,0,0,0,0,0,0,0,1,0,0,0
1,62,58,315,0,0,0,0,0,0,0,0,1,0,0,0
