Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
0,90,31,239,0,0,0,0,0,0,0,0,0,0,1,0
0,90,66,336,0,0,0,0,0,0,0,0,0,0,1,0
1,135,96,315,0,0,0,0,0,0,0,0,0,0,1,0
1,131,41,275,0,0,0,0,0,0,0,0,0,0,1,0
2,129,141,265,0,0,0,0,0,0,0,0,0,0,1,0
1,140,103,307,0,0,0,0,0,0,0,0,0,0,1,0
2,102,14,276,0,0,0,0,0,0,0,0,0,0,1,0
1,157,90,293,0,0,0,0,0,0,0,0,0,0,1,0
1,144,54,274,0,0,0,0,0,0,0,0,0,0,1,0
1,136,52,252,0,0,0,0,0,0,0,0,0,0,1,0
2,137,133,272,0,0,0,0,0,0,0,0,0,0,1,0
1,142,82,307,0,0,0,0,0,0,0,0,0,0,1,0
1,149,60,263,0,0,0,0,0,0,0,0,0,0,1,0
2,136,69,306,0,0,0,0,0,0,0,0,0,0,1,0
1,135,50,252,0,0,0,0,0,0,0,0,0,0,1,0
2,154,94,296,0,0,0,0,0,0,0,0,0,0,1,0
2,143,125,260,0,0,0,0,0,0,0,0,0,0,1,0
2,149,95,300,0,0,0,0,0,0,0,0,0,0,1,0
1,133,43,265,0,0,0,0,0,0,0,0,0,0,1,0
2,158,98,290,0,0,0,0,0,0,0,0,0,0,1,0
2,131,41,275,0,0,0,0,0,0,0,0,0,0,1,0
2,167,90,283,0,0,0,0,0,0,0,0,0,0,1,0
2,160,70,272,0,0,0,0,0,0,0,0,0,0,1,0
2,167,90,283,0,0,0,0,0,0,0,0,0,0,1,0
2,156,66,273,0,0,0,0,0,0,0,0,0,0,1,0
2,158,85,291,0,0,0,0,0,0,0,0,0,0,1,0
2,163,74,266,0,0,0,0,0,0,0,0,0,0,1,0
3,152,76,294,0,0,0,0,0,0,0,0,0,0,1,0
2,154,67,259,0,0,0,0,0,0,0,0,0,0,1,0
3,152,118,271,0,0,0,0,0,0,0,0,0,0,1,0
2,154,67,259,0,0,0,0,0,0,0,0,0,0,1,0
3,160,93,290,0,0,0,0,0,0,0,0,0,0,1,0
2,152,62,267,0,0,0,0,0,0,0,0,0,0,1,0
3,165,95,284,0,0,0,0,0,0,0,0,0,0,1,0
3,146,57,274,0,0,0,0,0,0,0,0,0,0,1,0
3,154,115,262,0,0,0,0,0,0,0,0,0,0,1,0
3,162,93,288,0,0,0,0,0,0,0,0,0,0,1,0
3,172,90,278,0,0,0,0,0,0,0,0,0,0,1,0
3,165,75,272,0,0,0,0,0,0,0,0,0,0,1,0
3,165,87,284,0,0,0,0,0,0,0,0,0,0,1,0
3,169,79,267,0,0,0,0,0,0,0,0,0,0,1,0
3,167,103,273,0,0,0,0,0,0,0,0,0,0,1,0
3,171,90,279,0,0,0,0,0,0,0,0,0,0,1,0
3,166,76,272,0,0,0,0,0,0,0,0,0,0,1,0
3,162,74,262,0,0,0,0,0,0,0,0,0,0,1,0
4,165,92,285,0,0,0,0,0,0,0,0,0,0,1,0
3,160,70,268,0,0,0,0,0,0,0,0,0,0,1,0
4,157,113,268,0,0,0,0,0,0,0,0,0,0,1,0
4,159,80,288,0,0,0,0,0,0,0,0,0,0,1,0
3,162,74,262,0,0,0,0,0,0,0,0,0,0,1,0
4,166,92,284,0,0,0,0,0,0,0,0,0,0,1,0
4,174,90,276,0,0,0,0,0,0,0,0,0,0,1,0
4,169,79,271,0,0,0,0,0,0,0,0,0,0,1,0
4,163,107,268,0,0,0,0,0,0,0,0,0,0,1,0
4,169,94,281,0,0,0,0,0,0,0,0,0,0,1,0
4,155,65,273,0,0,0,0,0,0,0,0,0,0,1,0
4,174,90,276,0,0,0,0,0,0,0,0,0,0,1,0
4,170,80,271,0,0,0,0,0,0,0,0,0,0,1,0
4,166,78,264,0,0,0,0,0,0,0,0,0,0,1,0
5,161,109,271,0,0,0,0,0,0,0,0,0,0,1,0
4,169,88,281,0,0,0,0,0,0,0,0,0,0,1,0
4,171,82,268,0,0,0,0,0,0,0,0,0,0,1,0
5,164,82,284,0,0,0,0,0,0,0,0,0,0,1,0
4,166,78,264,0,0,0,0,0,0,0,0,0,0,1,0
5,169,92,281,0,0,0,0,0,0,0,0,0,0,1,0
