Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
135,98,8,270,0,0,0,0,0,0,1,0,0,0,0,0
19,169,91,259,0,0,0,0,0,0,1,0,0,0,0,0
134,97,173,268,0,0,0,0,0,0,1,0,0,0,0,0
62,86,6,274,0,0,0,0,0,0,1,0,0,0,0,0
9,62,38,294,0,0,0,0,0,0,1,0,0,0,0,0
24,78,15,279,0,0,0,0,0,0,1,0,0,0,0,0
124,88,3,273,0,0,0,0,0,0,1,0,0,0,0,0
203,88,2,270,0,0,0,0,0,0,1,0,0,0,0,0
20,72,24,285,0,0,0,0,0,0,1,0,0,0,0,0
122,87,4,272,0,0,0,0,0,0,1,0,0,0,0,0
148,87,177,269,0,0,0,0,0,0,1,0,0,0,0,0
178,88,177,272,0,0,0,0,0,0,1,0,0,0,0,0
138,86,176,272,0,0,0,0,0,0,1,0,0,0,0,0
180,87,177,271,0,0,0,0,0,0,1,0,0,0,0,0
113,85,174,272,0,0,0,0,0,0,1,0,0,0,0,0
133,86,176,269,0,0,0,0,0,0,1,0,0,0,0,0
157,86,4,269,0,0,0,0,0,0,1,0,0,0,0,0
106,85,174,273,0,0,0,0,0,0,1,0,0,0,0,0
242,88,177,268,0,0,0,0,0,0,1,0,0,0,0,0
219,87,3,270,0,0,0,0,0,0,1,0,0,0,0,0
28,69,27,286,0,0,0,0,0,0,1,0,0,0,0,0
112,85,173,265,0,0,0,0,0,0,1,0,0,0,0,0
16,48,43,266,0,0,0,0,0,0,1,0,0,0,0,0
263,88,3,272,0,0,0,0,0,0,1,0,0,0,0,0
12,35,125,271,0,0,0,0,0,0,1,0,0,0,0,0
197,87,3,270,0,0,0,0,0,0,1,0,0,0,0,0
161,86,5,273,0,0,0,0,0,0,1,0,0,0,0,0
110,84,174,270,0,0,0,0,0,0,1,0,0,0,0,0
119,84,6,270,0,0,0,0,0,0,1,0,0,0,0,0
58,77,15,278,0,0,0,0,0,0,1,0,0,0,0,0
28,61,35,288,0,0,0,0,0,0,1,0,0,0,0,0
128,84,10,278,0,0,0,0,0,0,1,0,0,0,0,0
311,87,176,273,0,0,0,0,0,0,1,0,0,0,0,0
75,78,168,274,0,0,0,0,0,0,1,0,0,0,0,0
237,86,176,271,0,0,0,0,0,0,1,0,0,0,0,0
135,84,173,272,0,0,0,0,0,0,1,0,0,0,0,0
114,82,172,268,0,0,0,0,0,0,1,0,0,0,0,0
66,77,14,275,0,0,0,0,0,0,1,0,0,0,0,0
27,57,36,282,0,0,0,0,0,0,1,0,0,0,0,0
118,83,173,269,0,0,0,0,0,0,1,0,0,0,0,0
41,68,157,277,0,0,0,0,0,0,1,0,0,0,0,0
19,33,119,285,0,0,0,0,0,0,1,0,0,0,0,0
279,87,177,270,0,0,0,0,0,0,1,0,0,0,0,0
54,72,161,275,0,0,0,0,0,0,1,0,0,0,0,0
91,79,11,273,0,0,0,0,0,0,1,0,0,0,0,0
50,70,160,268,0,0,0,0,0,0,1,0,0,0,0,0
43,65,26,277,0,0,0,0,0,0,1,0,0,0,0,0
23,35,123,282,0,0,0,0,0,0,1,0,0,0,0,0
174,83,173,272,0,0,0,0,0,0,1,0,0,0,0,0
177,84,174,270,0,0,0,0,0,0,1,0,0,0,0,0
70,73,163,274,0,0,0,0,0,0,1,0,0,0,0,0
65,100,160,287,0,0,0,0,0,0,1,0,0,0,0,0
204,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
214,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
214,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
220,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
220,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
220,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
220,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
220,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
226,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
226,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
226,93,175,274,0,0,0,0,0,0,1,0,0,0,0,0
232,93,176,273,0,0,0,0,0,0,1,0,0,0,0,0
238,93,176,273,0,0,0,0,0,0,1,0,0,0,0,0
247,93,176,273,0,0,0,0,0,0,1,0,0,0,0,0
117,96,171,277,0,0,0,0,0,0,1,0,0,0,0,0
94,97,12,279,0,0,0,0,0,0,1,0,0,0,0,0
91,98,12,279,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
211,94,6,274,0,0,0,0,0,0,1,0,0,0,0,0
71,101,17,282,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
201,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
204,94,175,274,0,0,0,0,0,0,1,0,0,0,0,0
