Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
26,87,85,354,0,1,0,0,0,0,0,0,0,0,0,0
26,89,100,350,0,1,0,0,0,0,0,0,0,0,0,0
27,89,72,198,0,1,0,0,0,0,0,0,0,0,0,0
27,91,66,204,0,1,0,0,0,0,0,0,0,0,0,0
11,101,70,337,0,1,0,0,0,0,0,0,0,0,0,0
26,94,66,336,0,1,0,0,0,0,0,0,0,0,0,0
23,95,81,190,0,1,0,0,0,0,0,0,0,0,0,0
14,102,69,205,0,1,0,0,0,0,0,0,0,0,0,0
15,95,119,210,0,1,0,0,0,0,0,0,0,0,0,0
12,105,46,313,0,1,0,0,0,0,0,0,0,0,0,0
21,98,62,331,0,1,0,0,0,0,0,0,0,0,0,0
12,105,18,280,0,1,0,0,0,0,0,0,0,0,0,0
18,100,45,313,0,1,0,0,0,0,0,0,0,0,0,0
15,102,19,255,0,1,0,0,0,0,0,0,0,0,0,0
11,106,44,230,0,1,0,0,0,0,0,0,0,0,0,0
38,95,67,204,0,1,0,0,0,0,0,0,0,0,0,0
13,118,28,264,0,1,0,0,0,0,0,0,0,0,0,0
39,92,99,189,0,1,0,0,0,0,0,0,0,0,0,0
37,99,79,194,0,1,0,0,0,0,0,0,0,0,0,0
39,99,75,197,0,1,0,0,0,0,0,0,0,0,0,0
15,94,89,185,0,1,0,0,0,0,0,0,0,0,0,0
37,101,76,198,0,1,0,0,0,0,0,0,0,0,0,0
54,97,104,196,0,1,0,0,0,0,0,0,0,0,0,0
33,102,71,203,0,1,0,0,0,0,0,0,0,0,0,0
29,92,103,194,0,1,0,0,0,0,0,0,0,0,0,0
20,113,61,219,0,1,0,0,0,0,0,0,0,0,0,0
12,130,61,234,0,1,0,0,0,0,0,0,0,0,0,0
27,107,66,210,0,1,0,0,0,0,0,0,0,0,0,0
46,100,106,199,0,1,0,0,0,0,0,0,0,0,0,0
15,127,42,287,0,1,0,0,0,0,0,0,0,0,0,0
21,93,109,200,0,1,0,0,0,0,0,0,0,0,0,0
22,114,60,221,0,1,0,0,0,0,0,0,0,0,0,0
