Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
1,27,69,254,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,71,156,256,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,180,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
0,90,90,360,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
11,80,22,289,1,0,0,0,0,0,0,0,0,0,0,0
24,92,18,288,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
24,84,22,249,1,0,0,0,0,0,0,0,0,0,0,0
10,90,22,248,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
3,90,180,270,1,0,0,0,0,0,0,0,0,0,0,0
