Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
44,90,96,354,0,0,0,0,0,0,0,0,0,0,0,0
16,87,100,350,0,0,0,0,0,0,0,0,0,0,0,0
17,87,105,195,0,0,0,0,0,0,0,0,0,0,0,0
16,86,107,343,0,0,0,0,0,0,0,0,0,0,0,0
6,80,168,264,0,0,0,0,0,0,0,0,0,0,0,0
6,81,170,275,0,0,0,0,0,0,0,0,0,0,0,0
6,80,169,265,0,0,0,0,0,0,0,0,0,0,0,0
6,81,170,274,0,0,0,0,0,0,0,0,0,0,0,0
6,80,169,266,0,0,0,0,0,0,0,0,0,0,0,0
6,81,170,274,0,0,0,0,0,0,0,0,0,0,0,0
6,80,169,267,0,0,0,0,0,0,0,0,0,0,0,0
6,81,171,273,0,0,0,0,0,0,0,0,0,0,0,0
6,80,169,267,0,0,0,0,0,0,0,0,0,0,0,0
6,81,171,273,0,0,0,0,0,0,0,0,0,0,0,0
6,80,170,267,0,0,0,0,0,0,0,0,0,0,0,0
6,81,171,272,0,0,0,0,0,0,0,0,0,0,0,0
6,80,170,268,0,0,0,0,0,0,0,0,0,0,0,0
6,81,171,272,0,0,0,0,0,0,0,0,0,0,0,0
6,80,170,269,0,0,0,0,0,0,0,0,0,0,0,0
6,81,171,271,0,0,0,0,0,0,0,0,0,0,0,0
11,85,120,330,0,0,0,0,0,0,0,0,0,0,0,0
12,85,123,213,0,0,0,0,0,0,0,0,0,0,0,0
11,85,120,330,0,0,0,0,0,0,0,0,0,0,0,0
12,85,123,213,0,0,0,0,0,0,0,0,0,0,0,0
40,90,70,340,0,0,0,0,0,0,0,0,0,0,0,0
41,90,52,322,0,0,0,0,0,0,0,0,0,0,0,0
38,89,66,336,0,0,0,0,0,0,0,0,0,0,0,0
41,89,45,315,0,0,0,0,0,0,0,0,0,0,0,0
5,79,106,200,0,0,0,0,0,0,0,0,0,0,0,0
7,81,89,189,0,0,0,0,0,0,0,0,0,0,0,0
15,86,32,238,0,0,0,0,0,0,0,0,0,0,0,0
16,86,153,243,0,0,0,0,0,0,0,0,0,0,0,0
11,85,43,228,0,0,0,0,0,0,0,0,0,0,0,0
16,86,153,243,0,0,0,0,0,0,0,0,0,0,0,0
11,85,43,228,0,0,0,0,0,0,0,0,0,0,0,0
16,86,153,243,0,0,0,0,0,0,0,0,0,0,0,0
13,86,37,233,0,0,0,0,0,0,0,0,0,0,0,0
13,85,144,235,0,0,0,0,0,0,0,0,0,0,0,0
13,86,37,234,0,0,0,0,0,0,0,0,0,0,0,0
13,85,144,235,0,0,0,0,0,0,0,0,0,0,0,0
13,86,37,234,0,0,0,0,0,0,0,0,0,0,0,0
13,85,144,235,0,0,0,0,0,0,0,0,0,0,0,0
13,86,37,234,0,0,0,0,0,0,0,0,0,0,0,0
14,86,149,239,0,0,0,0,0,0,0,0,0,0,0,0
12,85,40,231,0,0,0,0,0,0,0,0,0,0,0,0
16,86,153,243,0,0,0,0,0,0,0,0,0,0,0,0
12,85,40,231,0,0,0,0,0,0,0,0,0,0,0,0
16,86,153,243,0,0,0,0,0,0,0,0,0,0,0,0
13,86,35,235,0,0,0,0,0,0,0,0,0,0,0,0
15,86,150,240,0,0,0,0,0,0,0,0,0,0,0,0
15,86,31,239,0,0,0,0,0,0,0,0,0,0,0,0
12,85,143,233,0,0,0,0,0,0,0,0,0,0,0,0
16,86,29,241,0,0,0,0,0,0,0,0,0,0,0,0
11,85,140,230,0,0,0,0,0,0,0,0,0,0,0,0
16,86,29,241,0,0,0,0,0,0,0,0,0,0,0,0
11,85,140,230,0,0,0,0,0,0,0,0,0,0,0,0
13,86,36,234,0,0,0,0,0,0,0,0,0,0,0,0
13,85,144,235,0,0,0,0,0,0,0,0,0,0,0,0
13,86,37,234,0,0,0,0,0,0,0,0,0,0,0,0
13,85,144,235,0,0,0,0,0,0,0,0,0,0,0,0
