Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
166,146,96,304,0,0,0,1,0,0,0,0,0,0,0,0
165,145,96,304,0,0,0,1,0,0,0,0,0,0,0,0
164,145,96,304,0,0,0,1,0,0,0,0,0,0,0,0
163,145,96,305,0,0,0,1,0,0,0,0,0,0,0,0
162,144,96,305,0,0,0,1,0,0,0,0,0,0,0,0
162,144,96,305,0,0,0,1,0,0,0,0,0,0,0,0
161,144,96,306,0,0,0,1,0,0,0,0,0,0,0,0
161,144,96,305,0,0,0,1,0,0,0,0,0,0,0,0
160,144,96,306,0,0,0,1,0,0,0,0,0,0,0,0
160,144,96,306,0,0,0,1,0,0,0,0,0,0,0,0
160,143,96,306,0,0,0,1,0,0,0,0,0,0,0,0
164,146,96,303,0,0,0,1,0,0,0,0,0,0,0,0
167,147,96,303,0,0,0,1,0,0,0,0,0,0,0,0
166,146,96,303,0,0,0,1,0,0,0,0,0,0,0,0
166,146,96,303,0,0,0,1,0,0,0,0,0,0,0,0
165,146,96,304,0,0,0,1,0,0,0,0,0,0,0,0
164,145,96,304,0,0,0,1,0,0,0,0,0,0,0,0
163,145,96,304,0,0,0,1,0,0,0,0,0,0,0,0
161,145,96,305,0,0,0,1,0,0,0,0,0,0,0,0
171,143,106,303,0,0,0,1,0,0,0,0,0,0,0,0
171,143,106,303,0,0,0,1,0,0,0,0,0,0,0,0
169,142,106,303,0,0,0,1,0,0,0,0,0,0,0,0
167,142,106,304,0,0,0,1,0,0,0,0,0,0,0,0
167,141,106,304,0,0,0,1,0,0,0,0,0,0,0,0
166,141,106,304,0,0,0,1,0,0,0,0,0,0,0,0
166,141,106,304,0,0,0,1,0,0,0,0,0,0,0,0
166,141,106,304,0,0,0,1,0,0,0,0,0,0,0,0
165,141,106,305,0,0,0,1,0,0,0,0,0,0,0,0
165,141,106,305,0,0,0,1,0,0,0,0,0,0,0,0
163,143,100,305,0,0,0,1,0,0,0,0,0,0,0,0
163,142,103,305,0,0,0,1,0,0,0,0,0,0,0,0
171,143,106,302,0,0,0,1,0,0,0,0,0,0,0,0
170,143,106,303,0,0,0,1,0,0,0,0,0,0,0,0
169,143,106,303,0,0,0,1,0,0,0,0,0,0,0,0
168,142,106,303,0,0,0,1,0,0,0,0,0,0,0,0
167,142,106,303,0,0,0,1,0,0,0,0,0,0,0,0
166,142,106,304,0,0,0,1,0,0,0,0,0,0,0,0
192,136,104,310,0,0,0,1,0,0,0,0,0,0,0,0
191,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
191,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
190,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
190,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
189,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
188,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
187,135,104,311,0,0,0,1,0,0,0,0,0,0,0,0
187,135,104,311,0,0,0,1,0,0,0,0,0,0,0,0
186,135,104,312,0,0,0,1,0,0,0,0,0,0,0,0
186,138,96,312,0,0,0,1,0,0,0,0,0,0,0,0
185,138,96,312,0,0,0,1,0,0,0,0,0,0,0,0
184,137,96,312,0,0,0,1,0,0,0,0,0,0,0,0
184,137,96,312,0,0,0,1,0,0,0,0,0,0,0,0
183,137,96,312,0,0,0,1,0,0,0,0,0,0,0,0
182,137,96,313,0,0,0,1,0,0,0,0,0,0,0,0
181,137,96,313,0,0,0,1,0,0,0,0,0,0,0,0
181,136,96,313,0,0,0,1,0,0,0,0,0,0,0,0
183,137,96,313,0,0,0,1,0,0,0,0,0,0,0,0
187,138,95,312,0,0,0,1,0,0,0,0,0,0,0,0
187,138,95,312,0,0,0,1,0,0,0,0,0,0,0,0
187,138,95,312,0,0,0,1,0,0,0,0,0,0,0,0
186,138,95,312,0,0,0,1,0,0,0,0,0,0,0,0
185,137,95,312,0,0,0,1,0,0,0,0,0,0,0,0
184,137,95,312,0,0,0,1,0,0,0,0,0,0,0,0
184,137,95,312,0,0,0,1,0,0,0,0,0,0,0,0
183,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
182,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
181,136,96,313,0,0,0,1,0,0,0,0,0,0,0,0
195,136,100,312,0,0,0,1,0,0,0,0,0,0,0,0
193,136,98,313,0,0,0,1,0,0,0,0,0,0,0,0
192,136,96,313,0,0,0,1,0,0,0,0,0,0,0,0
192,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
191,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
191,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
191,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
190,137,95,313,0,0,0,1,0,0,0,0,0,0,0,0
189,137,95,312,0,0,0,1,0,0,0,0,0,0,0,0
189,137,95,312,0,0,0,1,0,0,0,0,0,0,0,0
191,137,98,312,0,0,0,1,0,0,0,0,0,0,0,0
195,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
194,136,104,311,0,0,0,1,0,0,0,0,0,0,0,0
194,135,104,311,0,0,0,1,0,0,0,0,0,0,0,0
196,135,103,311,0,0,0,1,0,0,0,0,0,0,0,0
195,135,103,312,0,0,0,1,0,0,0,0,0,0,0,0
196,135,103,312,0,0,0,1,0,0,0,0,0,0,0,0
195,135,103,312,0,0,0,1,0,0,0,0,0,0,0,0
195,135,104,312,0,0,0,1,0,0,0,0,0,0,0,0
171,145,105,301,0,0,0,1,0,0,0,0,0,0,0,0
171,145,105,301,0,0,0,1,0,0,0,0,0,0,0,0
170,145,105,301,0,0,0,1,0,0,0,0,0,0,0,0
170,145,105,301,0,0,0,1,0,0,0,0,0,0,0,0
168,146,102,301,0,0,0,1,0,0,0,0,0,0,0,0
166,147,99,301,0,0,0,1,0,0,0,0,0,0,0,0
