Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
61,114,90,336,0,0,0,0,0,1,0,0,0,0,0,0
53,134,90,224,0,0,0,0,0,1,0,0,0,0,0,0
84,158,90,292,0,0,0,0,0,1,0,0,0,0,0,0
131,165,90,255,0,0,0,0,0,1,0,0,0,0,0,0
39,120,145,287,0,0,0,0,0,1,0,0,0,0,0,0
56,123,125,307,0,0,0,0,0,1,0,0,0,0,0,0
53,140,127,282,0,0,0,0,0,1,0,0,0,0,0,0
76,150,115,285,0,0,0,0,0,1,0,0,0,0,0,0
89,158,111,277,0,0,0,0,0,1,0,0,0,0,0,0
118,158,106,285,0,0,0,0,0,1,0,0,0,0,0,0
134,162,104,259,0,0,0,0,0,1,0,0,0,0,0,0
60,71,122,219,0,0,0,0,0,1,0,0,0,0,0,0
63,78,120,213,0,0,0,0,0,1,0,0,0,0,0,0
44,74,136,309,0,0,0,0,0,1,0,0,0,0,0,0
34,106,162,262,0,0,0,0,0,1,0,0,0,0,0,0
65,108,120,216,0,0,0,0,0,1,0,0,0,0,0,0
100,102,109,202,0,0,0,0,0,1,0,0,0,0,0,0
47,137,132,276,0,0,0,0,0,1,0,0,0,0,0,0
110,117,107,213,0,0,0,0,0,1,0,0,0,0,0,0
78,133,114,232,0,0,0,0,0,1,0,0,0,0,0,0
120,126,105,220,0,0,0,0,0,1,0,0,0,0,0,0
111,131,107,226,0,0,0,0,0,1,0,0,0,0,0,0
122,126,105,220,0,0,0,0,0,1,0,0,0,0,0,0
130,139,104,233,0,0,0,0,0,1,0,0,0,0,0,0
134,160,104,255,0,0,0,0,0,1,0,0,0,0,0,0
151,144,102,237,0,0,0,0,0,1,0,0,0,0,0,0
116,111,90,339,0,0,0,0,0,1,0,0,0,0,0,0
70,178,90,268,0,0,0,0,0,1,0,0,0,0,0,0
33,124,90,326,0,0,0,0,0,1,0,0,0,0,0,0
63,147,120,283,0,0,0,0,0,1,0,0,0,0,0,0
105,136,108,309,0,0,0,0,0,1,0,0,0,0,0,0
47,115,132,233,0,0,0,0,0,1,0,0,0,0,0,0
88,147,111,294,0,0,0,0,0,1,0,0,0,0,0,0
118,164,106,274,0,0,0,0,0,1,0,0,0,0,0,0
40,56,143,283,0,0,0,0,0,1,0,0,0,0,0,0
41,55,142,283,0,0,0,0,0,1,0,0,0,0,0,0
