Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
55,171,92,278,0,0,1,0,0,0,0,0,0,0,0,0
54,171,92,279,0,0,1,0,0,0,0,0,0,0,0,0
52,171,92,279,0,0,1,0,0,0,0,0,0,0,0,0
51,171,92,279,0,0,1,0,0,0,0,0,0,0,0,0
49,170,92,279,0,0,1,0,0,0,0,0,0,0,0,0
48,170,92,280,0,0,1,0,0,0,0,0,0,0,0,0
46,170,92,280,0,0,1,0,0,0,0,0,0,0,0,0
45,170,92,280,0,0,1,0,0,0,0,0,0,0,0,0
43,169,92,281,0,0,1,0,0,0,0,0,0,0,0,0
42,169,92,281,0,0,1,0,0,0,0,0,0,0,0,0
40,168,92,281,0,0,1,0,0,0,0,0,0,0,0,0
39,168,92,282,0,0,1,0,0,0,0,0,0,0,0,0
38,167,93,282,0,0,1,0,0,0,0,0,0,0,0,0
36,167,92,283,0,0,1,0,0,0,0,0,0,0,0,0
35,166,93,283,0,0,1,0,0,0,0,0,0,0,0,0
33,166,93,284,0,0,1,0,0,0,0,0,0,0,0,0
32,165,93,285,0,0,1,0,0,0,0,0,0,0,0,0
30,164,93,285,0,0,1,0,0,0,0,0,0,0,0,0
29,164,93,286,0,0,1,0,0,0,0,0,0,0,0,0
28,163,93,287,0,0,1,0,0,0,0,0,0,0,0,0
26,162,94,288,0,0,1,0,0,0,0,0,0,0,0,0
25,161,94,289,0,0,1,0,0,0,0,0,0,0,0,0
23,159,94,290,0,0,1,0,0,0,0,0,0,0,0,0
22,158,94,291,0,0,1,0,0,0,0,0,0,0,0,0
20,156,95,293,0,0,1,0,0,0,0,0,0,0,0,0
19,155,95,295,0,0,1,0,0,0,0,0,0,0,0,0
18,152,95,297,0,0,1,0,0,0,0,0,0,0,0,0
16,150,95,299,0,0,1,0,0,0,0,0,0,0,0,0
15,147,96,302,0,0,1,0,0,0,0,0,0,0,0,0
14,144,96,305,0,0,1,0,0,0,0,0,0,0,0,0
13,140,98,309,0,0,1,0,0,0,0,0,0,0,0,0
12,136,98,313,0,0,1,0,0,0,0,0,0,0,0,0
11,129,99,319,0,0,1,0,0,0,0,0,0,0,0,0
10,123,99,325,0,0,1,0,0,0,0,0,0,0,0,0
9,114,101,333,0,0,1,0,0,0,0,0,0,0,0,0
8,106,101,341,0,0,1,0,0,0,0,0,0,0,0,0
8,95,102,347,0,0,1,0,0,0,0,0,0,0,0,0
8,85,101,348,0,0,1,0,0,0,0,0,0,0,0,0
8,74,101,340,0,0,1,0,0,0,0,0,0,0,0,0
9,66,100,334,0,0,1,0,0,0,0,0,0,0,0,0
10,57,100,325,0,0,1,0,0,0,0,0,0,0,0,0
11,51,98,319,0,0,1,0,0,0,0,0,0,0,0,0
12,44,98,313,0,0,1,0,0,0,0,0,0,0,0,0
13,40,97,309,0,0,1,0,0,0,0,0,0,0,0,0
14,36,97,305,0,0,1,0,0,0,0,0,0,0,0,0
15,33,96,302,0,0,1,0,0,0,0,0,0,0,0,0
16,30,96,299,0,0,1,0,0,0,0,0,0,0,0,0
18,27,95,297,0,0,1,0,0,0,0,0,0,0,0,0
19,25,95,295,0,0,1,0,0,0,0,0,0,0,0,0
20,24,94,293,0,0,1,0,0,0,0,0,0,0,0,0
22,22,94,291,0,0,1,0,0,0,0,0,0,0,0,0
23,21,94,290,0,0,1,0,0,0,0,0,0,0,0,0
25,19,94,289,0,0,1,0,0,0,0,0,0,0,0,0
26,18,93,288,0,0,1,0,0,0,0,0,0,0,0,0
28,17,93,287,0,0,1,0,0,0,0,0,0,0,0,0
29,16,93,286,0,0,1,0,0,0,0,0,0,0,0,0
30,16,93,285,0,0,1,0,0,0,0,0,0,0,0,0
32,15,93,285,0,0,1,0,0,0,0,0,0,0,0,0
33,14,93,284,0,0,1,0,0,0,0,0,0,0,0,0
35,14,93,283,0,0,1,0,0,0,0,0,0,0,0,0
36,13,93,283,0,0,1,0,0,0,0,0,0,0,0,0
38,13,92,282,0,0,1,0,0,0,0,0,0,0,0,0
39,12,92,282,0,0,1,0,0,0,0,0,0,0,0,0
40,12,92,281,0,0,1,0,0,0,0,0,0,0,0,0
42,11,92,281,0,0,1,0,0,0,0,0,0,0,0,0
43,11,92,281,0,0,1,0,0,0,0,0,0,0,0,0
45,10,92,280,0,0,1,0,0,0,0,0,0,0,0,0
46,10,92,280,0,0,1,0,0,0,0,0,0,0,0,0
48,10,92,280,0,0,1,0,0,0,0,0,0,0,0,0
49,10,92,279,0,0,1,0,0,0,0,0,0,0,0,0
51,9,92,279,0,0,1,0,0,0,0,0,0,0,0,0
52,9,92,279,0,0,1,0,0,0,0,0,0,0,0,0
54,9,92,279,0,0,1,0,0,0,0,0,0,0,0,0
55,8,92,278,0,0,1,0,0,0,0,0,0,0,0,0
57,8,92,278,0,0,1,0,0,0,0,0,0,0,0,0
58,8,92,278,0,0,1,0,0,0,0,0,0,0,0,0
60,8,92,278,0,0,1,0,0,0,0,0,0,0,0,0
61,8,91,278,0,0,1,0,0,0,0,0,0,0,0,0
63,7,92,277,0,0,1,0,0,0,0,0,0,0,0,0
64,7,91,277,0,0,1,0,0,0,0,0,0,0,0,0
66,7,91,277,0,0,1,0,0,0,0,0,0,0,0,0
67,7,91,277,0,0,1,0,0,0,0,0,0,0,0,0
69,7,91,277,0,0,1,0,0,0,0,0,0,0,0,0
70,7,91,277,0,0,1,0,0,0,0,0,0,0,0,0
72,7,91,276,0,0,1,0,0,0,0,0,0,0,0,0
73,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
75,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
76,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
78,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
79,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
81,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
82,6,91,276,0,0,1,0,0,0,0,0,0,0,0,0
84,6,91,275,0,0,1,0,0,0,0,0,0,0,0,0
