Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
0,90,155,295,0,0,0,0,0,0,0,1,0,0,0,0
0,138,125,289,0,0,0,0,0,0,0,1,0,0,0,0
0,44,54,292,0,0,0,0,0,0,0,1,0,0,0,0
0,90,17,253,0,0,0,0,0,0,0,1,0,0,0,0
0,90,123,213,0,0,0,0,0,0,0,1,0,0,0,0
0,104,66,332,0,0,0,0,0,0,0,1,0,0,0,0
0,90,18,288,0,0,0,0,0,0,0,1,0,0,0,0
0,112,158,269,0,0,0,0,0,0,0,1,0,0,0,0
0,22,85,291,0,0,0,0,0,0,0,1,0,0,0,0
0,99,61,210,0,0,0,0,0,0,0,1,0,0,0,0
0,90,9,261,0,0,0,0,0,0,0,1,0,0,0,0
0,90,49,319,0,0,0,0,0,0,0,1,0,0,0,0
0,102,100,344,0,0,0,0,0,0,0,1,0,0,0,0
0,90,16,254,0,0,0,0,0,0,0,1,0,0,0,0
0,90,131,319,0,0,0,0,0,0,0,1,0,0,0,0
26,119,94,330,0,0,0,0,0,0,0,1,0,0,0,0
0,90,90,180,0,0,0,0,0,0,0,1,0,0,0,0
1,90,81,351,0,0,0,0,0,0,0,1,0,0,0,0
1,121,130,305,0,0,0,0,0,0,0,1,0,0,0,0
1,90,147,303,0,0,0,0,0,0,0,1,0,0,0,0
1,118,39,244,0,0,0,0,0,0,0,1,0,0,0,0
1,90,146,304,0,0,0,0,0,0,0,1,0,0,0,0
0,161,83,288,0,0,0,0,0,0,0,1,0,0,0,0
1,90,142,308,0,0,0,0,0,0,0,1,0,0,0,0
1,90,31,239,0,0,0,0,0,0,0,1,0,0,0,0
0,90,54,324,0,0,0,0,0,0,0,1,0,0,0,0
1,90,92,358,0,0,0,0,0,0,0,1,0,0,0,0
1,58,39,251,0,0,0,0,0,0,0,1,0,0,0,0
1,90,49,319,0,0,0,0,0,0,0,1,0,0,0,0
1,90,144,306,0,0,0,0,0,0,0,1,0,0,0,0
1,117,39,244,0,0,0,0,0,0,0,1,0,0,0,0
1,90,145,305,0,0,0,0,0,0,0,1,0,0,0,0
0,166,82,282,0,0,0,0,0,0,0,1,0,0,0,0
1,90,146,304,0,0,0,0,0,0,0,1,0,0,0,0
1,90,31,239,0,0,0,0,0,0,0,1,0,0,0,0
1,90,147,303,0,0,0,0,0,0,0,1,0,0,0,0
1,90,30,240,0,0,0,0,0,0,0,1,0,0,0,0
1,90,145,305,0,0,0,0,0,0,0,1,0,0,0,0
1,90,29,241,0,0,0,0,0,0,0,1,0,0,0,0
1,87,35,236,0,0,0,0,0,0,0,1,0,0,0,0
1,99,30,242,0,0,0,0,0,0,0,1,0,0,0,0
1,116,27,274,0,0,0,0,0,0,0,1,0,0,0,0
2,67,25,261,0,0,0,0,0,0,0,1,0,0,0,0
78,61,84,210,0,0,0,0,0,0,0,1,0,0,0,0
81,61,83,210,0,0,0,0,0,0,0,1,0,0,0,0
82,62,79,210,0,0,0,0,0,0,0,1,0,0,0,0
82,62,80,210,0,0,0,0,0,0,0,1,0,0,0,0
81,62,81,210,0,0,0,0,0,0,0,1,0,0,0,0
80,61,82,210,0,0,0,0,0,0,0,1,0,0,0,0
78,61,83,210,0,0,0,0,0,0,0,1,0,0,0,0
26,118,99,330,0,0,0,0,0,0,0,1,0,0,0,0
79,120,96,329,0,0,0,0,0,0,0,1,0,0,0,0
80,119,98,330,0,0,0,0,0,0,0,1,0,0,0,0
83,118,101,329,0,0,0,0,0,0,0,1,0,0,0,0
82,118,100,330,0,0,0,0,0,0,0,1,0,0,0,0
81,118,99,330,0,0,0,0,0,0,0,1,0,0,0,0
80,119,98,330,0,0,0,0,0,0,0,1,0,0,0,0
79,120,97,329,0,0,0,0,0,0,0,1,0,0,0,0
27,121,94,328,0,0,0,0,0,0,0,1,0,0,0,0
2,125,35,270,0,0,0,0,0,0,0,1,0,0,0,0
2,109,19,270,0,0,0,0,0,0,0,1,0,0,0,0
2,121,31,270,0,0,0,0,0,0,0,1,0,0,0,0
2,90,0,270,0,0,0,0,0,0,0,1,0,0,0,0
1,170,80,270,0,0,0,0,0,0,0,1,0,0,0,0
1,158,68,270,0,0,0,0,0,0,0,1,0,0,0,0
1,154,64,270,0,0,0,0,0,0,0,1,0,0,0,0
1,180,90,270,0,0,0,0,0,0,0,1,0,0,0,0
0,92,2,270,0,0,0,0,0,0,0,1,0,0,0,0
