Vlen,VdegX,VdegY,VdegZ,IsHole,IsFlange,IsRidge,IsMortise,IsTenon,IsPlane,IsFillet,IsStrut,IsCone,IsBlade,IsDowel,IsBar
0,90,180,270,0,0,0,0,1,0,0,0,0,0,0,0
10,112,22,270,0,0,0,0,1,0,0,0,0,0,0,0
17,148,122,270,0,0,0,0,1,0,0,0,0,0,0,0
17,157,113,270,0,0,0,0,1,0,0,0,0,0,0,0
29,175,95,270,0,0,0,0,1,0,0,0,0,0,0,0
29,173,83,270,0,0,0,0,1,0,0,0,0,0,0,0
25,177,93,270,0,0,0,0,1,0,0,0,0,0,0,0
25,179,91,270,0,0,0,0,1,0,0,0,0,0,0,0
91,85,92,185,0,0,0,0,1,0,0,0,0,0,0,0
92,85,81,190,0,0,0,0,1,0,0,0,0,0,0,0
92,84,80,192,0,0,0,0,1,0,0,0,0,0,0,0
91,84,90,186,0,0,0,0,1,0,0,0,0,0,0,0
96,87,71,199,0,0,0,0,1,0,0,0,0,0,0,0
91,84,93,187,0,0,0,0,1,0,0,0,0,0,0,0
92,89,98,188,0,0,0,0,1,0,0,0,0,0,0,0
96,86,109,200,0,0,0,0,1,0,0,0,0,0,0,0
91,86,96,188,0,0,0,0,1,0,0,0,0,0,0,0
94,90,75,195,0,0,0,0,1,0,0,0,0,0,0,0
91,91,89,181,0,0,0,0,1,0,0,0,0,0,0,0
91,92,92,183,0,0,0,0,1,0,0,0,0,0,0,0
97,97,71,201,0,0,0,0,1,0,0,0,0,0,0,0
96,99,74,199,0,0,0,0,1,0,0,0,0,0,0,0
92,100,96,191,0,0,0,0,1,0,0,0,0,0,0,0
92,99,89,189,0,0,0,0,1,0,0,0,0,0,0,0
92,98,85,189,0,0,0,0,1,0,0,0,0,0,0,0
95,97,105,197,0,0,0,0,1,0,0,0,0,0,0,0
97,74,78,200,0,0,0,0,1,0,0,0,0,0,0,0
95,74,82,198,0,0,0,0,1,0,0,0,0,0,0,0
95,74,95,197,0,0,0,0,1,0,0,0,0,0,0,0
97,74,78,200,0,0,0,0,1,0,0,0,0,0,0,0
95,73,95,197,0,0,0,0,1,0,0,0,0,0,0,0
95,73,83,198,0,0,0,0,1,0,0,0,0,0,0,0
95,73,90,197,0,0,0,0,1,0,0,0,0,0,0,0
94,75,84,196,0,0,0,0,1,0,0,0,0,0,0,0
97,73,103,202,0,0,0,0,1,0,0,0,0,0,0,0
99,77,72,203,0,0,0,0,1,0,0,0,0,0,0,0
95,72,88,198,0,0,0,0,1,0,0,0,0,0,0,0
95,72,88,198,0,0,0,0,1,0,0,0,0,0,0,0
93,77,86,194,0,0,0,0,1,0,0,0,0,0,0,0
98,78,108,202,0,0,0,0,1,0,0,0,0,0,0,0
94,80,81,194,0,0,0,0,1,0,0,0,0,0,0,0
32,143,127,271,0,0,0,0,1,0,0,0,0,0,0,0
28,142,52,270,0,0,0,0,1,0,0,0,0,0,0,0
31,138,132,271,0,0,0,0,1,0,0,0,0,0,0,0
35,146,56,270,0,0,0,0,1,0,0,0,0,0,0,0
34,146,56,271,0,0,0,0,1,0,0,0,0,0,0,0
26,151,119,270,0,0,0,0,1,0,0,0,0,0,0,0
27,150,60,271,0,0,0,0,1,0,0,0,0,0,0,0
34,152,118,271,0,0,0,0,1,0,0,0,0,0,0,0
30,169,101,270,0,0,0,0,1,0,0,0,0,0,0,0
26,154,64,271,0,0,0,0,1,0,0,0,0,0,0,0
28,146,124,271,0,0,0,0,1,0,0,0,0,0,0,0
35,150,60,271,0,0,0,0,1,0,0,0,0,0,0,0
31,161,71,271,0,0,0,0,1,0,0,0,0,0,0,0
24,161,109,272,0,0,0,0,1,0,0,0,0,0,0,0
30,179,90,271,0,0,0,0,1,0,0,0,0,0,0,0
34,150,60,271,0,0,0,0,1,0,0,0,0,0,0,0
33,135,135,270,0,0,0,0,1,0,0,0,0,0,0,0
27,148,58,270,0,0,0,0,1,0,0,0,0,0,0,0
33,152,62,271,0,0,0,0,1,0,0,0,0,0,0,0
40,125,145,271,0,0,0,0,1,0,0,0,0,0,0,0
38,138,48,270,0,0,0,0,1,0,0,0,0,0,0,0
29,170,100,271,0,0,0,0,1,0,0,0,0,0,0,0
25,151,119,271,0,0,0,0,1,0,0,0,0,0,0,0
31,134,44,270,0,0,0,0,1,0,0,0,0,0,0,0
28,171,81,271,0,0,0,0,1,0,0,0,0,0,0,0
22,180,90,270,0,0,0,0,1,0,0,0,0,0,0,0
22,178,89,271,0,0,0,0,1,0,0,0,0,0,0,0
29,160,70,271,0,0,0,0,1,0,0,0,0,0,0,0
40,123,147,271,0,0,0,0,1,0,0,0,0,0,0,0
31,134,44,270,0,0,0,0,1,0,0,0,0,0,0,0
26,178,92,271,0,0,0,0,1,0,0,0,0,0,0,0
29,154,116,271,0,0,0,0,1,0,0,0,0,0,0,0
30,135,45,270,0,0,0,0,1,0,0,0,0,0,0,0
40,124,146,271,0,0,0,0,1,0,0,0,0,0,0,0
